@relation all_train_data

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label {up,down,left,right}

@data
-244,-59,1379,48170,-97926,33536,-394,-647,2393,-20243,72256,-4512,-971,343,-6182,-240731,458841,-20121,952,25,-168,177317,-357926,51036,604,752,839,23475,-134146,4268,-63,-508,1432,155060,-126280,-75731,248,37,2052,-49634,-23597,-27621,181,113,-582,-39329,121219,16097,-248,-81,-1332,-63109,110853,11097,-91,146,98,-2500,-16219,5304,57,-101,115,27439,-7804,10853,-31,-50,-75,-6951,-8719,-12256,-9,-21,-15,-1219,-1219,-1158,-14,21,19,-6219,1585,2256,15,-24,1,-1402,8170,2926,-4,18,-1,-121,-487,-853,3,0,-6,2439,487,1829,3,-1,19,-670,-60,-609,7,4,-13,1097,-670,-670,4,-2,25,-3048,-182,1829,up
-313,-43,1364,59268,-98048,18841,29,-473,1206,-75853,212926,1768,-924,91,-4691,-134085,259695,-18841,514,552,-1345,123780,-297987,34573,477,-143,1807,82378,-240609,-40853,-29,-618,3728,23353,-121829,-28597,505,760,-1155,-51585,203963,28109,-323,-179,-873,-14756,125792,-24573,88,1,93,-22865,-26951,21524,-32,-3,-209,14207,-32134,11707,-21,23,66,-4634,12804,-9024,0,9,-4,4939,609,-2439,-16,-18,-16,-1951,-4390,5609,-4,-3,24,-2012,4756,2560,4,7,-21,670,853,-182,0,14,8,-121,-3109,-1585,2,-5,-5,243,2195,1280,0,-4,0,-1097,182,853,9,-8,4,792,-914,-1341,0,3,9,-487,2926,243,up
-419,-176,2018,72500,-80182,-121,151,-414,947,-62439,244573,31585,-1009,297,-5818,-185792,248414,-8475,284,106,-502,143780,-413536,-3597,421,216,2686,97012,-247195,-13597,752,-511,3165,13902,-11036,-66646,10,503,-1498,-95060,224085,49634,-183,44,-1180,-10487,35365,6402,-18,-15,51,58536,-73414,10487,71,44,308,-31524,80121,1463,-132,-174,-304,9512,-7317,-12621,58,132,184,-6951,-7134,243,-23,-78,-99,-914,-7195,5731,2,1,41,-5121,12621,1402,-11,36,-6,-426,304,-3963,8,0,0,3353,1280,2012,17,-9,0,0,548,2073,4,-12,0,2012,1402,-1036,-4,3,-18,792,-2621,-1219,0,-2,11,-2317,1280,-304,up
77,77,1461,42012,-54512,121,-541,-547,932,-11646,224817,54024,-774,429,-5045,-244390,248719,-25365,350,-247,-461,188780,-406097,-13170,578,381,1663,80670,-227012,-4878,231,-297,4102,53231,-86707,-45609,220,512,-1853,-123170,233292,46463,-192,-362,-632,14207,75548,-18963,86,104,-98,3231,-8963,7682,-20,-24,-75,-60,-8719,4146,1,9,-5,1829,7987,-6036,10,-3,15,-2743,5548,2926,-7,-3,-2,-2195,-7012,-1097,5,3,10,731,3109,426,2,-1,-15,-853,-548,-60,6,-13,20,60,121,1524,5,15,-12,792,-1219,-2804,-2,-9,-22,-487,-1280,1280,2,13,26,487,3231,-121,-11,-7,-8,-1585,-1707,-365,up
-229,-62,1856,73536,-127621,2560,-434,-837,1385,-167500,352804,51036,-975,895,-6989,-100000,215670,-37256,572,-375,749,199024,-483048,-30487,445,141,2527,121646,-318353,-2987,957,-110,3156,-18353,86097,-20792,-310,136,-960,-91463,246829,4756,52,203,-1614,-17439,27865,36158,-54,20,-131,-14390,-15060,12865,12,-10,26,23902,10121,-16524,-4,15,-34,4329,2439,-5365,16,-11,18,-12621,1890,2134,0,8,23,-426,2439,4268,-4,-8,-20,-304,-3780,2560,19,11,1,0,3292,-3536,-9,-13,11,914,3170,60,29,87,90,-19268,5243,3109,-119,30,1450,33170,-102743,17926,-828,-965,1524,-77987,347865,-2256,-1542,-378,-8260,-81463,202439,-8780,up
597,442,964,131341,-454939,-609,1765,774,6127,172987,-381280,-23597,618,15,-295,-106402,229878,-21890,-669,57,-2041,-104939,163719,34939,137,122,380,59634,-2378,4329,67,-192,74,29207,-4268,975,-19,65,-48,-28658,-2500,-10365,-24,-24,35,16036,-27804,-670,19,9,-135,-9817,60,3170,-51,112,285,-13109,18170,5853,7,-177,-162,-1158,4390,-2317,21,24,44,-1280,4573,-1158,0,17,-7,1402,-1585,670,23,-23,9,-7317,-5426,7317,-26,32,-75,10792,121,-5060,21,-10,57,1341,2012,-3353,-14,0,-40,1280,-1524,-853,4,-11,22,-1524,304,2256,5,-10,7,-670,365,-1341,-5,9,-6,4268,1768,548,up
-339,159,1876,49878,-138109,14695,-265,-966,2880,-96951,271341,18719,-2065,-774,-9124,-256585,391219,-47134,1340,1288,1213,327073,-628963,49573,1045,552,5828,99024,-307378,-50609,773,4,-818,-21158,230548,5975,-437,-125,-1481,-75182,135975,2865,-104,-160,-499,-28170,64268,10182,79,57,282,-5670,-19085,7500,-58,-50,-161,10670,-6097,-11707,16,33,22,-15548,6341,-2804,5,0,8,-6219,3597,7682,-3,0,-55,9634,-7987,-5670,2,9,43,-3658,2439,2134,-3,3,-30,6158,-2439,-121,2,1,9,-3109,3475,182,-2,0,28,-487,-731,1036,-4,-1,-13,487,-487,-1036,7,10,-3,-3109,853,792,2,1,-7,5609,426,-426,up
-247,102,1673,44878,-141890,52134,-579,-1106,3990,-62621,224573,-29878,-4645,532,-22683,-328353,519817,-43170,3503,639,14165,428963,-814756,91646,2161,-300,6257,35426,-190853,-129573,513,-59,-1713,-15000,263475,47987,-740,280,-1412,-76585,117987,21524,51,-72,-314,-30000,12865,-60,-82,-107,28,25121,-1097,548,-4,25,49,-7195,4085,-7926,-9,1,-55,-8780,-12073,-6158,-32,0,15,-4512,7987,3719,15,-5,-22,-6585,243,3170,-15,22,2,4817,4329,-3841,2,-4,14,-121,7012,2621,-6,-17,-42,3292,-2926,-4085,0,6,32,-1524,-2012,-2134,0,8,22,243,2865,914,8,-1,-3,-792,2560,2378,0,8,-17,-1402,-3109,-426,up
-538,-558,954,24268,-90914,21036,950,365,4891,-10975,56951,2682,-4842,-1335,-9520,-347804,645426,17743,3089,1328,-1305,298536,-624756,37987,514,158,7225,248292,-415731,-139085,1469,322,-267,-111463,264024,76585,-514,-193,-1271,-32378,130609,-39146,-1498,382,-1540,-73597,39695,39146,1403,-432,800,-1524,-15548,-15121,-4,-72,-11,18963,-7195,7926,-17,55,39,-12195,11585,-16158,-36,47,25,3353,-487,243,36,-99,81,-7256,12621,5975,-19,55,-147,3109,-13841,-2073,-2,0,43,1280,792,1585,7,-20,-7,-853,5853,2134,-3,27,7,3780,-243,-1829,-4,-9,6,365,1951,1951,18,-15,-2,-3353,2012,792,-2,22,5,3414,2439,-4207,up
-899,359,1657,5243,-133963,27682,403,-1050,2543,-17987,204573,-37926,-2231,1,-7473,-234939,491646,21158,1314,-18,-899,187804,-547378,6707,592,643,4298,167317,-354939,32926,1217,63,2209,5609,70182,-49756,-162,215,-1425,-68841,203109,21768,-153,-32,-816,-62256,59268,-18231,-50,-173,-148,25609,19329,-1707,-13,-25,26,-6585,-24817,8109,25,0,19,6036,3658,-4268,0,10,13,-3719,4817,-7500,-9,13,-20,-6158,-487,2073,2,-10,-7,182,-2256,-426,18,-8,38,-2256,6707,3109,-1,8,-32,2073,-4878,-548,0,-4,1,-304,-1402,-1585,-10,-4,33,-1402,2682,2439,14,1,-3,2621,-1463,-2500,-14,5,-28,-1524,-731,365,up
