@relation smoothed_train_data

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label {up,down,left,right}

@data
-244,-59,1379,48170,-97926,33536,-319,-353,1886,13963.5,-12835,14512,-536.333333,-121,-803.333333,-70934.66667,144390.3333,2967.666667,-164.25,-84.5,-644.5,-8871.75,18811.25,14984.75,-10.6,82.8,-347.8,-2402.4,-11780.2,12841.4,25.6,-7,-337.2,18975.6,-17451,-9012,154,129.8,-405.4,13097.4,-36621.6,-13633.8,384.4,83.8,714.6,53377.8,-104146,-6390.2,144.4,62.6,481.8,5292.6,-10390.2,-14378,5.4,-58.6,333.6,97.6,13195.2,-14170.8,29.4,22.8,70.2,-25426.6,36890.4,3146,-26.4,5.4,-355.2,-16890,39866,6219,-64.4,-21.4,-241.8,-9268,15378.4,2768,-17.6,-1,28.4,2110,-6475.2,999.8,3.6,-35,9,2329.6,-1597.4,524.2,-8.6,-11.2,-14.2,-3182.4,-134,-1817,-1.8,-1.2,-0.4,-1304.4,1707.2,1000,0.6,2.8,6.4,-1194.6,1939,1109.8,4.8,-0.6,0,268.6,1488,524.6,2.6,3.8,4.8,-60.6,-182.4,305.2,up
-313,-43,1364,59268,-98048,18841,-142,-258,1285,-8292.5,57439,10304.5,-402.666667,-141.666667,-707,-50223.33333,124857.6667,589.333333,-173.5,31.75,-866.5,-6722.5,19146.5,9085.25,-43.4,-3.2,-331.8,11097.6,-32804.6,-902.4,13.4,-118.2,141,3914.6,-37560.8,-10390,108.6,128.4,-331.2,8768.2,-39353.4,-5121.8,228.8,74.4,432.4,32634,-66134,-6268.2,143.6,-35.8,720,3305,-11926.8,-8878,41.8,-7.8,316.8,-10329.2,29768.2,1634,43.4,120.4,-415.6,-15926.6,56694.8,5548.6,-57.6,-29.8,-185.4,-4621.8,16024,-561,3.8,2.4,-14,-2060.8,-10012.4,5475.4,-14.6,1.6,-27.8,2109.8,-3671,1682.6,-7.4,3.6,9.8,-597.6,2926.4,-695.2,-3.2,1.8,-1.8,305,-256.2,792.6,-2.8,-1,-2,-634.2,61,1536.4,0.4,1.8,1.2,-463.4,975.4,585.2,3,0.8,-2.8,97.4,-158.6,-195,2.2,0,3.2,-134,256,-110,up
-419,-176,2018,72500,-80182,-121,-134,-295,1482.5,5030.5,82195.5,15732,-425.666667,-97.666667,-951,-58577,137601.6667,7663,-248.25,-46.75,-838.75,-7987.75,-182.75,4848,-114.4,5.8,-133.8,13012.2,-49585.2,1159,119.8,-61.2,95.6,1292.6,-35756,-12146,91.6,122.2,-393.4,-5231.6,-39853.6,-8536.2,256.8,71.6,534.2,29829.4,-82463.4,-5560.8,196.4,47.4,644.8,12780.6,-14439,-2744,126.4,13,169.2,-12926.6,51024.2,268,-50.4,80.4,-524.6,-13804.6,51768,11073,-40.8,6.2,-188.2,3817.2,5524.2,1194.8,-8.8,-18.2,28,5731.8,-2987.8,1060.6,-4.8,-15,26,-6999.6,14219.2,-756.4,-21.2,-16.6,-36.8,-780,-1744.2,-1841.6,6.8,18.2,24,-2011.8,-24.8,1085,-1.4,-10,-12.8,-621.6,1511.6,1451,4,3.2,7,-36.4,3231,97.6,2.8,3.6,-4.8,1146.2,182.6,-426.6,5,-4,-1.4,768,377.8,305.2,up
77,77,1461,42012,-54512,121,-232,-235,1196.5,15183,85152.5,27072.5,-412.666667,-13.666667,-884,-71341.33333,139674.6667,9593.333333,-222,-72,-778.25,-6311,3231.75,3902.5,-62,18.6,-290,11085.2,-42817,2146.4,-31.2,-56.2,238.2,13329,-49256,-6999.6,121,155.6,-318.8,-8975.8,-47561,-8511.8,237.4,-2.6,563.8,42743.6,-82195.2,-7231.4,184.6,67.6,636.4,5633.8,-2768.4,-3061,65,-13.4,288.8,-10512.2,40890.2,-1256.2,19,47.8,-532.6,-20792.6,59829,6658.4,-23,-55.2,-159,3292.8,14280.2,-2049,14,16.6,-33,12.4,-2231.8,1524.2,-2.2,-3.6,-11.4,-487.6,182.6,73,2.2,1,0.6,-646.2,1816.8,-768.2,3.2,-3.4,5.6,-1000,243.6,743.8,2.2,0.2,0.2,-293,-1109.8,-402.2,3.2,-1,-3.8,48.6,36.6,73.2,2.6,1,-0.6,-0.2,61,-36.2,0,-0.2,0.8,-146.6,-170.8,-97.2,up
-229,-62,1856,73536,-127621,2560,-331.5,-449.5,1620.5,-46982,112591.5,26798,-546,-1.333333,-1249.333333,-64654.66667,146951,5446.666667,-266.5,-94.75,-749.75,1265,-10548.75,-3536.75,-124.2,-47.6,-94.4,25341.2,-72109.6,-3426.8,113,-57.2,165.6,6963.4,-29366,-8097.2,137.8,137.4,-303.4,22170.8,-50561,-17353.2,343.2,-1,771.6,38683,-88122,-2670.4,218,78,595.6,-3999.8,5475.6,6000,131.4,47.8,95.4,-23548.6,71170.4,3292.6,-60.8,72.8,-542.6,-19012.2,54438.8,6378,4.4,43.4,-347,-3243.8,5451,5853.6,-6,4.4,-19.6,158.8,365.8,-524.4,4,-1.2,2.6,2976,2621.8,-2585.4,5.4,3,-2.4,-1804.4,1256,12.2,4.4,-2.6,6.6,-2487.4,1402.2,1097.2,7,17,21,-3816.8,2072.8,1292.2,-16.8,21.4,306.4,2902.4,-18963.6,4023.8,-181.6,-170,615.2,-12634.2,51365.4,3060.6,-493.8,-247.8,-1037,-28926.8,91194.8,2011.8,up
597,442,964,131341,-454939,-609,1181,608,3545.5,152164,-418109.5,-12103,993.333333,410.333333,2265.333333,65975.33333,-202113.6667,-15365.33333,577.75,322,1188.75,23246.75,-110655.5,-2789.25,489.6,282,1027,30524.2,-89000,-1365.6,383.6,155.2,849,10097.4,1134.2,-1048.8,26.8,13.4,-386,-30231.6,76890.2,1597.6,-101.6,5.6,-320,-5744,25353.8,5841.6,36,-4,61.2,13280.4,-7378,-512.2,-1.6,-6,42.2,-1268.2,-3268.4,-207.4,-13.6,-3,-5,-7341.2,-1536.8,-865.8,-5.6,-11.2,13.4,-1865.6,-122.2,975.6,-0.8,-3,5,-4792.4,5121.6,1243.6,0,-9.4,33.8,-4292.4,4024.4,2073,5,-25.4,-38.2,487.8,414.6,-109.6,7.8,8,5.6,987.6,-61,-316.8,0.8,3.2,-11.2,1499.6,-1280.4,-255.8,1.6,-2.4,-5.4,914.4,-902.6,61.4,-2,0.2,-5.8,2243.8,255.6,-1670.2,2.2,-4.4,8,939,585,-548.6,up
-339,159,1876,49878,-138109,14695,-302,-403.5,2378,-23536.5,66616,16707,-889.666667,-527,-1456,-101219.3333,174817,-4573.333333,-332.25,-73.25,-788.75,5853.75,-26128,8963.25,-56.8,51.8,534.6,24487.8,-82378,-2951.2,165.6,20.8,-4.2,10280.6,-8646.6,-4695.2,131.2,189,-876.4,14634.4,-35719.8,-7866,523.4,311.8,848.6,60317.4,-101110,3597.2,271.2,65.6,662.4,-6231.2,20865.6,-4817.4,50.6,-54.8,-535.4,-23902,81121.8,2963,-100.8,-49,-367.4,-22780,36280.4,1207.2,-12.4,-24,-69.6,-8987.4,9804.8,2170.6,7.8,8,19.2,-1426.6,-4646.2,-999.8,-7.6,-1.6,-28.6,-1024.2,-341.4,-2073,3.4,9,-2.4,-1926.6,390.2,244.2,0.6,2.6,-5,561.2,-183,841.4,-0.8,2.6,-1,1707.6,-1048.6,-487.8,-1,2.4,7.4,-121.8,451.4,439,0,2.6,-1.8,-12,134.2,170.6,1,2.2,2.8,-121.8,707.2,109.6,up
-247,102,1673,44878,-141890,52134,-413,-502,2831.5,-8871.5,41341.5,11128,-1823.666667,-157.333333,-5673.333333,-115365.3333,200833.3333,-6971.333333,-492,41.75,-713.75,20716.75,-53064,17683,38.6,-26.6,680.4,23658.6,-80621.8,-11768.2,190.6,-58.8,3.2,11683,451.2,-12597.6,158.4,218.4,-1077.2,8890.2,-20866,-2317.2,1097.6,97.6,3396.6,68560.8,-122256.4,6304.8,380.6,-51.6,569.2,-12207.6,40475.4,-11914.8,-52.4,13.4,-672.4,-20731.8,79463,12414.6,-156.8,25.4,-340.8,-19487.8,24353.4,1585.6,-15.2,-30.6,-55.4,-5073.2,2353.4,-1975.4,-22.4,-17.2,3,-390.2,-171,-1329.4,-9,8.6,-2.2,-4451,914.2,-2207.2,-7.8,2.8,-9.2,-3036.2,1499.6,-97.8,-7.2,-0.8,-6.6,-621.8,3329,316.8,-0.8,0.4,-3.2,-24.2,1329.2,-853.8,-3.8,3,5.6,1341.4,1853.6,-1305,0.8,-1.6,4.6,219.6,1499.8,-61.2,0.4,0.8,-1.6,-36.6,-524.4,-670.6,up
-538,-558,954,24268,-90914,21036,206,-96.5,2922.5,6646.5,-16981.5,11859,-1476.666667,-509.333333,-1225,-111503.6667,203821,13820.33333,-335.25,-50,-1245,-8993.75,-3323.25,19862,-165.4,-8.4,449,42463.4,-85804.8,-11927.4,236,167.6,204.8,15317.2,-14817.2,-817.6,-56.8,56,-1027.6,11036.6,-85.6,-9183.2,612,399.4,568.4,65878,-121231.8,-4902.6,274.8,47.4,989.4,5866,609.8,-15524.2,171.2,1.4,-457.8,-39999.8,82317,13878,-126,-52,-396.6,-20146.2,31829.2,-4670.6,-30.4,-4,-137.4,-13000,5610,3207.2,276.4,-100.2,186.8,268.2,195.2,-3427,-8,-2.8,-2.6,1194.8,536.6,-817.4,-7.6,11.6,8.2,-2341.8,2134,-2085.6,-2.8,-3.4,-1,-73.4,987.6,1572.8,3.8,-7.4,-4.6,12,1036.4,1158.4,-4.2,10.6,-19.6,1536.2,-1097.6,353.6,3.2,-3.4,9.4,243.8,2073,926.6,3.2,1,1.8,670.6,2402.4,-231.8,up
-899,359,1657,5243,-133963,27682,-248,-345.5,2100,-6372,35305,-5122,-909,-230,-1091,-82561,187418.6667,3638,-353.25,-177,-1043,-14969.75,3719.5,4405.25,-164.2,-13,25.2,21487.6,-68012.2,10109.4,259,-72.2,135.6,21560.8,-27183.2,-5378.2,146,180.8,-658,11390,-27476,6560.6,561.6,174.2,673.4,45926.6,-113951.6,-1317.2,288.8,143.2,823.6,13487.6,-610.2,-3000,167.8,9.6,-30.8,-21292.8,65414.2,-7963.4,-70.6,-3,-468.8,-21207.4,52109.4,1134.2,-38.2,-44,-181.2,-8183,12451,-4719.4,-9.4,-35,-22,3036.6,500,-658.6,1,-2.4,6.2,-2048.8,-3817,-402.4,7.2,1,8.6,-1183,2487.8,-1402.4,2,2.6,-1.6,-1975.6,780.6,-658.4,2,-0.2,-4,-1292.6,-463.2,524.6,1.8,-3.6,6.6,-341.4,170.6,597.8,4.2,-1.4,7.4,146.4,329.2,183,-2.2,1.2,-5.8,292.8,-1158.4,-365.8,up
