@relation training_gesture

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label{up,down,left,right,tilt_left,tilt_right}

@data
-248,66,1216,-60121,-82073,-31829,53,-3,-251,74085,78170,38414,273,-48,-850,89146,-55182,42682,-193,-79,-462,-69573,50792,-69634,-41,-171,-322,-9756,4634,-9329,-126,333,-304,82012,23475,7378,253,-165,-257,-91463,-55365,35792,19,-51,372,-11158,71341,21158,166,180,478,-92804,-15000,-25731,-97,-116,562,-35365,9146,-8841,-188,227,559,49512,2256,-21768,3,4,-41,81463,4085,16646,356,96,-622,51402,-136524,38170,-221,-231,-66,-55670,102134,-34451,-9,-38,-36,-853,0,2378,-5,32,-2,-121,-304,-792,6,-42,-6,-60,-487,-182,-6,1,12,243,60,-182,3,0,6,-121,243,1097,9,39,8,243,-426,-853,up
-422,-390,973,-9146,-25304,3414,-101,264,587,-10670,-72560,-15975,318,479,-1403,140182,46585,40121,188,-409,-958,-60792,14451,-11463,-13,14,-195,16707,36036,3963,-161,-156,-204,-4939,24878,-365,354,-361,-104,-60731,-11951,22195,-262,708,530,-44573,50609,-29939,230,-187,585,-91951,-14573,-8414,-172,53,513,37439,4207,-5731,53,161,535,36402,-34512,-26585,-33,-169,-278,59268,8353,25975,-162,-77,-3386,37865,-96097,15609,157,69,2799,-42439,71341,-24939,14,-11,0,-3109,-1646,14878,16,-18,-19,487,182,-2804,-9,4,-3,-182,-182,-3048,2,6,26,182,792,-1036,1,0,-18,-304,-914,3780,-3,-7,0,182,60,182,up
-384,-17,926,1829,-35000,-3048,104,-126,363,-24939,-51524,-7439,20,357,-890,130365,47012,26768,-126,-300,-429,-64817,10426,-22439,283,-18,-902,36463,-3292,9024,17,-211,-299,-42865,40731,-21219,-15,-2,22,-22012,24390,13231,79,191,344,-52439,37865,-4146,-7,62,513,-3780,22256,28048,-53,12,687,-69634,-27500,-487,131,136,466,33414,-9329,-13414,-114,49,153,54451,-16463,7804,374,19,-164,75182,-129512,11402,-361,-79,-831,-21707,85975,-16219,43,-109,64,-31829,2560,-10670,-3,47,-39,1646,1097,4146,40,-34,28,6158,4878,-365,128,135,2,-5365,-4390,-975,-162,-113,-10,0,-60,60,10,-5,-5,121,60,60,up
-353,-140,1030,-53414,-10243,-34756,136,140,113,37195,-11768,32317,57,291,-848,77621,-31463,16463,247,-337,-983,4085,10670,-5853,-293,24,107,19146,55914,-25609,14,-233,32,-48780,-6036,11768,138,144,-359,1219,-13292,11524,152,-163,-2,-65609,20670,16036,-93,359,515,-38353,26097,-9573,16,-156,291,-36341,-17987,-853,78,264,371,47378,44512,-11951,-57,3,314,10487,-4695,5060,-1198,-648,278,42682,-82926,-2378,1288,412,-909,17439,-15000,-14573,-143,50,46,-3414,36097,17500,37,45,23,-7560,1768,-20182,-37,-46,-23,-1951,-1158,11829,0,1,-14,121,243,3658,5,0,0,-1768,-1219,-243,-8,8,19,853,670,-670,up
-224,-62,1319,-6524,-5731,20243,56,-5,-69,61463,-24207,15060,69,526,-1329,76585,-792,-18597,267,-526,-675,-107134,-34512,-47500,-171,-159,-331,50975,39756,13048,-40,-270,-15,-58719,17012,2682,0,84,178,-26646,42804,25670,-68,407,482,-29695,17317,21707,54,123,176,-39512,-28048,-11158,141,-175,646,7134,39390,-8048,14,-29,136,-4085,-35121,-31036,0,70,-79,30365,-20304,-792,150,-274,-690,33475,-78841,-16097,-301,250,255,20487,74817,10670,46,38,0,-12134,-6036,25121,16,-15,-5,3780,2500,-365,0,12,-9,-1158,-914,-121,-15,13,11,5487,4390,-243,6,-20,-16,-5609,-4512,182,-4,2,18,304,243,243,up
-295,94,990,-1402,-30121,1402,137,-340,672,-6829,-31768,6280,66,777,-1504,93719,15000,5304,52,-376,-677,-56219,-23841,-23780,60,-340,-463,25609,15182,19024,-52,-211,-77,-23231,34939,-6585,117,-59,71,-22743,43048,6951,41,767,28,13170,71585,-5304,-276,-290,863,-76768,-22073,15792,-58,127,455,14634,-8658,-16219,72,32,57,-15365,-32987,3536,102,-96,112,-1036,-13048,-17378,173,-24,-135,54573,-1524,14207,-102,-484,-238,7987,-53353,-18292,-4,392,-196,-19451,21524,7682,-82,78,65,11829,15000,9573,66,-45,-35,1890,1402,-4024,-14,-45,8,3414,2804,-121,-31,38,-13,-4512,-3536,2134,43,6,-1,426,304,304,up
-591,-97,1438,-5365,33109,-5914,734,-189,42,9024,-64451,-1036,-261,1170,-1180,107378,2378,-36097,187,-606,-1186,-40060,-130975,51951,-73,-760,-273,-41646,76585,-14268,-100,-97,149,-13292,95365,4146,125,-218,233,-62500,14878,2012,-182,684,306,43231,37256,33048,-78,-155,401,-72378,-28048,-2378,78,424,24,41646,-3536,-1158,297,-96,452,-26097,14085,-25914,-81,-27,48,27500,-19451,-12439,-65,8,-187,33780,12378,9512,196,-220,-254,-17195,-68353,-19695,-221,259,-2,14756,20000,15121,18,-70,-1,1585,9085,2865,25,-11,1,7804,6158,-1463,-16,2,-8,-6280,-5182,-7134,6,-1,12,-731,-243,5000,-55,-37,-18,-2378,-2012,914,up
-212,-85,1414,-20609,-8231,20365,164,48,-146,30609,-52987,-24207,-8,373,-1256,87439,48963,-11585,134,-228,-635,-46280,-25000,-21890,-151,-55,-397,21158,23780,9146,234,-306,-164,-44695,-1829,46890,-190,-389,447,-45243,53414,14268,-50,612,455,-3048,34329,-243,31,-163,655,-54268,-45609,-182,109,219,-78,19756,-14634,-23658,-68,169,89,37195,14756,5000,87,-274,90,-21158,-7926,-11036,-592,352,-1167,28231,-47500,-5975,531,-294,691,13597,30121,1829,-13,26,11,-2743,-1280,3414,39,35,0,4146,3170,182,14,-2,5,-3048,-2926,-975,-1,90,-30,1097,1097,487,-3,-88,30,-792,-670,182,3,7,-9,0,-182,365,up
-217,-376,1581,-3658,-19695,48414,-55,365,-207,49268,15000,-41890,229,173,-1428,17012,-47621,-31280,265,-384,-738,-18719,-45243,2500,-226,297,-149,66890,67621,12621,17,-337,-301,-62621,4451,15670,-81,-146,77,-48963,52195,1707,28,201,521,-37865,55609,16585,82,-41,574,-61402,-54634,18414,-34,-55,517,-16646,-9695,-30487,-103,312,150,55060,16951,-31402,-34,-26,62,24146,-1158,11585,-1011,958,-499,52012,-74634,7073,1101,-1030,-141,-12256,41890,4085,32,94,-19,-3170,-1280,-3841,-5,-9,2,3597,2439,121,16,-5,10,-2926,-2256,-243,19,42,-19,975,792,243,-26,-51,20,-731,-670,-182,1,6,-1,304,243,365,up
-440,-261,1356,29512,2012,28109,386,73,-342,6646,-77256,-31158,-53,395,-1001,44939,18841,853,-25,-275,-487,-35670,5182,-10426,44,-201,-455,7073,33109,14024,-62,-58,98,-36829,41219,2378,52,-29,20,-26097,1341,1524,19,360,259,-17560,38353,487,254,-6,122,-38292,-29573,-2865,8,100,353,-20914,-16219,60,-201,-10,490,25548,55609,9939,90,130,246,31280,-35548,-12195,-1017,-745,-316,-7439,-65609,-18231,1025,564,-343,47317,26829,22195,-109,10,1,-7134,3536,-5670,26,-29,1,-2256,-1646,121,-1,-15,-10,-792,-670,853,-3,0,-5,853,731,-121,2,8,3,-365,-243,-304,8,-6,4,0,-243,365,up
